match_id,season_id,match_date,home_team_id,away_team_id,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result
116,1,2015-11-07,25,23,0,1,A,0,0,D
117,1,2015-11-07,30,10,1,1,D,1,1,D
118,1,2015-11-08,1,27,1,1,D,0,1,A
119,1,2015-11-08,2,17,0,0,D,0,0,D
120,1,2015-11-08,16,9,1,2,A,1,1,D
121,1,2015-11-21,8,21,1,0,H,0,0,D
122,1,2015-11-21,10,2,4,0,H,3,0,H
123,1,2015-11-21,17,16,1,4,A,1,3,A
124,1,2015-11-21,20,15,0,3,A,0,1,A
125,1,2015-11-21,23,24,0,1,A,0,1,A
126,1,2015-11-21,26,3,2,2,D,2,2,D
127,1,2015-11-21,28,18,1,2,A,0,1,A
128,1,2015-11-21,29,1,2,1,H,2,1,H
129,1,2015-11-22,27,30,4,1,H,2,0,H
130,1,2015-11-23,9,25,0,1,A,0,0,D
131,1,2015-11-28,2,28,2,3,A,1,1,D
132,1,2015-11-28,3,10,3,3,D,0,2,A
133,1,2015-11-28,9,20,5,1,H,3,1,H
134,1,2015-11-28,15,18,1,1,D,1,1,D
135,1,2015-11-28,17,23,3,1,H,2,0,H
136,1,2015-11-28,25,24,2,0,H,0,0,D
137,1,2015-11-29,16,26,1,0,H,0,0,D
138,1,2015-11-29,21,1,1,1,D,1,1,D
139,1,2015-11-29,27,8,0,0,D,0,0,D
140,1,2015-11-29,30,29,1,1,D,1,0,H
141,1,2015-12-05,1,25,3,1,H,1,1,D
142,1,2015-12-05,8,3,0,1,A,0,0,D
143,1,2015-12-05,18,30,0,0,D,0,0,D
144,1,2015-12-05,23,2,1,1,D,0,1,A
145,1,2015-12-05,24,17,2,0,H,2,0,H
146,1,2015-12-05,26,15,0,3,A,0,2,A
147,1,2015-12-05,28,21,2,0,H,1,0,H
148,1,2015-12-05,29,27,1,1,D,1,1,D
149,1,2015-12-06,20,16,2,0,H,0,0,D
150,1,2015-12-07,10,9,1,1,D,0,0,D
151,1,2015-12-12,3,18,2,1,H,1,1,D
152,1,2015-12-12,9,23,1,0,H,1,0,H
153,1,2015-12-12,17,26,2,1,H,1,0,H
154,1,2015-12-12,21,10,1,1,D,0,1,A
155,1,2015-12-12,25,28,0,1,A,0,1,A
156,1,2015-12-12,30,24,0,0,D,0,0,D
157,1,2015-12-13,2,1,0,2,A,0,2,A
158,1,2015-12-13,16,29,2,2,D,1,1,D
159,1,2015-12-13,27,20,1,2,A,1,0,H
160,1,2015-12-14,15,8,2,1,H,1,0,H
161,1,2015-12-19,8,25,3,1,H,2,0,H
162,1,2015-12-19,10,15,2,3,A,1,1,D
163,1,2015-12-19,18,21,1,2,A,0,1,A
164,1,2015-12-19,20,2,1,1,D,1,0,H
165,1,2015-12-19,23,27,0,2,A,0,2,A
166,1,2015-12-19,24,9,1,2,A,0,1,A
167,1,2015-12-19,29,3,1,2,A,0,0,D
168,1,2015-12-20,26,30,0,0,D,0,0,D
169,1,2015-12-20,28,16,3,0,H,2,0,H
170,1,2015-12-21,1,17,2,1,H,2,0,H
171,1,2015-12-26,2,30,1,1,D,0,1,A
172,1,2015-12-26,3,9,0,0,D,0,0,D
173,1,2015-12-26,8,28,2,2,D,1,1,D
174,1,2015-12-26,16,15,1,0,H,0,0,D
175,1,2015-12-26,17,25,4,1,H,3,0,H
176,1,2015-12-26,20,10,0,1,A,0,0,D
177,1,2015-12-26,23,1,4,0,H,1,0,H
178,1,2015-12-26,24,18,2,0,H,2,0,H
179,1,2015-12-26,26,29,1,0,H,1,0,H
180,1,2015-12-26,27,21,3,0,H,2,0,H
181,1,2015-12-28,1,3,2,0,H,1,0,H
182,1,2015-12-28,9,26,0,0,D,0,0,D
183,1,2015-12-28,10,24,3,4,A,1,2,A
184,1,2015-12-28,18,8,0,0,D,0,0,D
185,1,2015-12-28,21,2,2,0,H,1,0,H
186,1,2015-12-28,28,27,1,2,A,1,1,D
187,1,2015-12-28,29,20,1,0,H,0,0,D
188,1,2015-12-28,30,23,2,1,H,0,1,A
189,1,2015-12-29,15,17,0,0,D,0,0,D
190,1,2015-12-30,25,16,0,1,A,0,0,D
191,1,2016-01-02,1,20,1,0,H,0,0,D
192,1,2016-01-02,15,3,0,0,D,0,0,D
193,1,2016-01-02,18,26,2,1,H,0,0,D
194,1,2016-01-02,21,23,1,0,H,0,0,D
195,1,2016-01-02,25,2,3,1,H,1,0,H
196,1,2016-01-02,28,17,1,2,A,0,0,D
197,1,2016-01-02,29,24,2,1,H,0,0,D
198,1,2016-01-02,30,16,2,0,H,1,0,H
199,1,2016-01-03,9,8,0,3,A,0,1,A
200,1,2016-01-03,10,27,1,1,D,1,1,D
201,1,2016-01-12,2,9,1,0,H,0,0,D
202,1,2016-01-12,3,30,1,3,A,1,0,H
203,1,2016-01-12,20,18,3,3,D,1,2,A
204,1,2016-01-13,8,29,2,2,D,1,1,D
205,1,2016-01-13,16,1,3,3,D,2,2,D
206,1,2016-01-13,17,10,0,0,D,0,0,D
207,1,2016-01-13,23,28,2,0,H,1,0,H
208,1,2016-01-13,24,21,3,1,H,0,0,D
209,1,2016-01-13,26,25,2,4,A,2,1,H
210,1,2016-01-13,27,15,0,1,A,0,0,D
211,1,2016-01-16,2,15,1,1,D,0,1,A
212,1,2016-01-16,3,21,3,0,H,1,0,H
