source_player_code,source_club_code,source_season,source_player_name,source_club_name
p101184,120,2021/2022,Calum Chambers,Arsenal
p111457,120,2021/2022,Sead Kolasinac,Arsenal
p115918,120,2021/2022,Rúnar Alex Rúnarsson,Arsenal
p131897,120,2021/2022,Mat Ryan,Arsenal
p153256,120,2021/2022,Mohamed Elneny,Arsenal
p154043,120,2021/2022,Ainsley Maitland-Niles,Arsenal
p156074,120,2021/2022,Rob Holding,Arsenal
p167199,120,2021/2022,Thomas Partey,Arsenal
p182539,120,2021/2022,Dani Ceballos,Arsenal
p184029,120,2021/2022,Martin Ødegaard,Arsenal
p192895,120,2021/2022,Kieran Tierney,Arsenal
p195735,120,2021/2022,Nicolas Pépé,Arsenal
p198849,120,2021/2022,Lucas Torreira,Arsenal
p198869,120,2021/2022,Ben White,Arsenal
p200089,120,2021/2022,Joseph Willock,Arsenal
p200641,120,2021/2022,Reiss Nelson,Arsenal
p205533,120,2021/2022,Eddie Nketiah,Arsenal
p209289,120,2021/2022,Emile Smith Rowe,Arsenal
p220682,120,2021/2022,Arthur Okonkwo,Arsenal
p223340,120,2021/2022,Bukayo Saka,Arsenal
p223723,120,2021/2022,Takehiro Tomiyasu,Arsenal
p225321,120,2021/2022,Aaron Ramsdale,Arsenal
p226597,120,2021/2022,Gabriel Magalhães,Arsenal
p232223,120,2021/2022,Folarin Balogun,Arsenal
p232228,120,2021/2022,Harry Clarke,Arsenal
p232233,120,2021/2022,Tyreece John-Jules,Arsenal
p233009,120,2021/2022,James Hillson,Arsenal
p235425,120,2021/2022,Ben Cottrell,Arsenal
p242166,120,2021/2022,Mattéo Guendouzi,Arsenal
p248852,120,2021/2022,Tom Smith,Arsenal
p41270,120,2021/2022,David Luiz,Arsenal
p437626,120,2021/2022,Nuno Tavares,Arsenal
p437742,120,2021/2022,Albert Sambi Lokonga,Arsenal
p439482,120,2021/2022,Miguel Azeez,Arsenal
p444145,120,2021/2022,Gabriel Martinelli,Arsenal
p462424,120,2021/2022,William Saliba,Arsenal
p463748,120,2021/2022,Karl Hein,Arsenal
p463789,120,2021/2022,Joel Lopez Salguero,Arsenal
p467750,120,2021/2022,Omar Rekik,Arsenal
p47431,120,2021/2022,Willian,Arsenal
p503301,120,2021/2022,Omari Hutchinson,Arsenal
p514307,120,2021/2022,Jack Francis,Arsenal
p54694,120,2021/2022,Pierre-Emerick Aubameyang,Arsenal
p58822,120,2021/2022,Cédric Soares,Arsenal
p59966,120,2021/2022,Alexandre Lacazette,Arsenal
p80201,120,2021/2022,Bernd Leno,Arsenal
p84450,120,2021/2022,Granit Xhaka,Arsenal
p92371,120,2021/2022,Pablo Marí,Arsenal
p98745,120,2021/2022,Héctor Bellerín,Arsenal
p108156,121,2021/2022,Björn Engels,Aston Villa
p110504,121,2021/2022,Bertrand Traoré,Aston Villa
p114283,121,2021/2022,Jack Grealish,Aston Villa
p122775,121,2021/2022,Morgan Sanson,Aston Villa
p122806,121,2021/2022,John McGinn,Aston Villa
p123354,121,2021/2022,Kortney Hause,Aston Villa
p148508,121,2021/2022,Trézéguet,Aston Villa
p149484,121,2021/2022,Tyrone Mings,Aston Villa
p169359,121,2021/2022,Matt Targett,Aston Villa
p178301,121,2021/2022,Ollie Watkins,Aston Villa
p180804,121,2021/2022,Axel Tuanzebe,Aston Villa
p184704,121,2021/2022,Marvelous Nakamba,Aston Villa
p18892,121,2021/2022,Ashley Young,Aston Villa
p193488,121,2021/2022,Anwar El Ghazi,Aston Villa
p195546,121,2021/2022,Emiliano Buendía,Aston Villa
p199796,121,2021/2022,Matthew Cash,Aston Villa
p199798,121,2021/2022,Ezri Konsa,Aston Villa
p203368,121,2021/2022,Frédéric Guilbert,Aston Villa
p209694,121,2021/2022,Callum Rowe,Aston Villa
p209695,121,2021/2022,Jake Walker,Aston Villa
p21205,121,2021/2022,Tom Heaton,Aston Villa
p213345,121,2021/2022,Wesley,Aston Villa
p215711,121,2021/2022,Leon Bailey,Aston Villa
p217487,121,2021/2022,Mbwana Samatta,Aston Villa
p221239,121,2021/2022,Keinan Davis,Aston Villa
p223349,121,2021/2022,Indiana Vassilev,Aston Villa
p230046,121,2021/2022,Douglas Luiz,Aston Villa
p232616,121,2021/2022,Mungo Bridge,Aston Villa
p232653,121,2021/2022,Jacob Ramsey,Aston Villa
p232654,121,2021/2022,Michael Tait,Aston Villa
p248164,121,2021/2022,Viljami Sinisalo,Aston Villa
p248855,121,2021/2022,Harrison Sohna,Aston Villa
p37339,121,2021/2022,Ahmed El Mohamady,Aston Villa
p40564,121,2021/2022,Henri Lansbury,Aston Villa
p432713,121,2021/2022,Hayden Lindley,Aston Villa
p433979,121,2021/2022,Cameron Archer,Aston Villa
p447715,121,2021/2022,Aaron Ramsey,Aston Villa
p465387,121,2021/2022,Louie Barry,Aston Villa
p465390,121,2021/2022,Kaine Hayden,Aston Villa
p468456,121,2021/2022,Akos Onodi,Aston Villa
p47390,121,2021/2022,Neil Taylor,Aston Villa
p475495,121,2021/2022,Brad Young,Aston Villa
p478912,121,2021/2022,Carney Chukwuemeka,Aston Villa
p481624,121,2021/2022,Jaden Philogene-Bidace,Aston Villa
p487835,121,2021/2022,Benjamin Chrisene,Aston Villa
p490117,121,2021/2022,Arjan Raikhy,Aston Villa
p500279,121,2021/2022,Edward Rowe,Aston Villa
p502977,121,2021/2022,Frankie Ealing,Aston Villa
p503159,121,2021/2022,Caleb Chukwuemeka,Aston Villa
p514287,121,2021/2022,Sil Swinkels,Aston Villa
p514292,121,2021/2022,Taylor Jay-Hart,Aston Villa
p515597,121,2021/2022,Lamare Bogarde,Aston Villa
p516159,121,2021/2022,Oliwier Zych,Aston Villa
p79852,121,2021/2022,Jed Steer,Aston Villa
p84939,121,2021/2022,Danny Ings,Aston Villa
p85242,121,2021/2022,Conor Hourihane,Aston Villa
p88175,121,2021/2022,Lovre Kalinic,Aston Villa
p88894,121,2021/2022,Ross Barkley,Aston Villa
p98980,121,2021/2022,Emiliano Martínez,Aston Villa
p105518,129,2021/2022,Joel Valencia,Brentford
p121570,129,2021/2022,Julian Jeanvier,Brentford
p128295,129,2021/2022,Christian Nørgaard,Brentford
p133845,129,2021/2022,Emiliano Marcondes,Brentford
p144485,129,2021/2022,Ivan Toney,Brentford
p154138,129,2021/2022,Tariqe Fosu-Henry,Brentford
p154561,129,2021/2022,David Raya,Brentford
p174932,129,2021/2022,Sergi Canós,Brentford
p183656,129,2021/2022,Josh Dasilva,Brentford
p191866,129,2021/2022,Kristoffer Ajer,Brentford
p194010,129,2021/2022,Rico Henry,Brentford
p204580,129,2021/2022,Vitaly Janelt,Brentford
p205836,129,2021/2022,Saman Ghoddos,Brentford
p207283,129,2021/2022,Mathias Jensen,Brentford
p213687,129,2021/2022,Charlie Goode,Brentford
p216620,129,2021/2022,Marcus Forss,Brentford
p216646,129,2021/2022,Yoane Wissa,Brentford
p220695,129,2021/2022,Paris Maghoma,Brentford
p226956,129,2021/2022,Mads Roerslev,Brentford
p226961,129,2021/2022,Luka Racic,Brentford
p228044,129,2021/2022,Mads Bech Sørensen,Brentford
p231065,129,2021/2022,Ethan Pinnock,Brentford
p232247,129,2021/2022,Dominic Thompson,Brentford
p232522,129,2021/2022,Nathan Shepperd,Brentford
p235448,129,2021/2022,Ellery Balcombe,Brentford
p235644,129,2021/2022,Kane O'Connor,Brentford
p240796,129,2021/2022,Álvaro Fernández,Brentford
p248520,129,2021/2022,Aaron Pressley,Brentford
p38219,129,2021/2022,Luke Daniels,Brentford
p420922,129,2021/2022,Jan Zamburek,Brentford
p428580,129,2021/2022,Frank Onyeka,Brentford
p432160,129,2021/2022,Shandon Baptiste,Brentford
p434024,129,2021/2022,Patrik Gunnarsson,Brentford
p434662,129,2021/2022,Halil Dervisoglu,Brentford
p438659,129,2021/2022,Alex Gilbert,Brentford
p446008,129,2021/2022,Bryan Mbeumo,Brentford
p450539,129,2021/2022,Myles Peart-Harris,Brentford
p450550,129,2021/2022,Finley Stevens,Brentford
p456840,129,2021/2022,Jaakko Oksanen,Brentford
p461173,129,2021/2022,Lewis Gordon,Brentford
p461558,129,2021/2022,Maxwell Haygarth,Brentford
p481405,129,2021/2022,Mads Bidstrup,Brentford
p48717,129,2021/2022,Winston Reid,Brentford
p48760,129,2021/2022,Zanka,Brentford
p60479,129,2021/2022,Henrik Dalsgaard,Brentford
p61810,129,2021/2022,Pontus Jansson,Brentford
p106757,130,2021/2022,Jürgen Locadia,Brighton and Hove Albion
p108813,130,2021/2022,Christian Walton,Brighton and Hove Albion
p109345,130,2021/2022,Solly March,Brighton and Hove Albion
p110735,130,2021/2022,Adam Webster,Brighton and Hove Albion
p111478,130,2021/2022,Joël Veltman,Brighton and Hove Albion
p115382,130,2021/2022,Neal Maupay,Brighton and Hove Albion
p116216,130,2021/2022,Leandro Trossard,Brighton and Hove Albion
p131897,130,2021/2022,Mat Ryan,Brighton and Hove Albion
p165210,130,2021/2022,Alireza Jahanbakhsh,Brighton and Hove Albion
p167473,130,2021/2022,José Izquierdo,Brighton and Hove Albion
p178173,130,2021/2022,Matthew Clarke,Brighton and Hove Albion
p179268,130,2021/2022,Marc Cucurella,Brighton and Hove Albion
p198869,130,2021/2022,Ben White,Brighton and Hove Albion
p204676,130,2021/2022,Andi Zeqiri,Brighton and Hove Albion
p20529,130,2021/2022,Glenn Murray,Brighton and Hove Albion
p207025,130,2021/2022,Jan Mlakar,Brighton and Hove Albion
p209045,130,2021/2022,Taylor Richards,Brighton and Hove Albion
p209288,130,2021/2022,Thomas McGill,Brighton and Hove Albion
p209362,130,2021/2022,Bernardo,Brighton and Hove Albion
p213056,130,2021/2022,Tudor Baluta,Brighton and Hove Albion
p215059,130,2021/2022,Robert Sánchez,Brighton and Hove Albion
p215066,130,2021/2022,Alex Cochrane,Brighton and Hove Albion
p220738,130,2021/2022,Jayson Molumby,Brighton and Hove Albion
p224117,130,2021/2022,Viktor Gyökeres,Brighton and Hove Albion
p227127,130,2021/2022,Yves Bissouma,Brighton and Hove Albion
p230127,130,2021/2022,Percy Tau,Brighton and Hove Albion
p232792,130,2021/2022,Tariq Lamptey,Brighton and Hove Albion
p233425,130,2021/2022,Aaron Connolly,Brighton and Hove Albion
p235382,130,2021/2022,Steven Alzate,Brighton and Hove Albion
p240514,130,2021/2022,Kjell Scherpen,Brighton and Hove Albion
p243016,130,2021/2022,Alexis Mac Allister,Brighton and Hove Albion
p243505,130,2021/2022,Jakub Moder,Brighton and Hove Albion
p244848,130,2021/2022,Teddy Jenks,Brighton and Hove Albion
p39155,130,2021/2022,Adam Lallana,Brighton and Hove Albion
p423649,130,2021/2022,Enock Mwepu,Brighton and Hove Albion
p433138,130,2021/2022,Marc Leonard,Brighton and Hove Albion
p433589,130,2021/2022,Haydon Roberts,Brighton and Hove Albion
p439978,130,2021/2022,Romaric Yapi,Brighton and Hove Albion
p440123,130,2021/2022,James Furlong,Brighton and Hove Albion
p440241,130,2021/2022,Jensen Weir,Brighton and Hove Albion
p441192,130,2021/2022,Jeremy Sarmiento,Brighton and Hove Albion
p442229,130,2021/2022,Michal Karbownik,Brighton and Hove Albion
p445548,130,2021/2022,Odeluga Offiah,Brighton and Hove Albion
p448496,130,2021/2022,Ed Turns,Brighton and Hove Albion
p449869,130,2021/2022,Lars Dendoncker,Brighton and Hove Albion
p461046,130,2021/2022,Antef Tsoungui,Brighton and Hove Albion
p461870,130,2021/2022,Peter Gwargis,Brighton and Hove Albion
p462026,130,2021/2022,Leo Østigard,Brighton and Hove Albion
p465572,130,2021/2022,Reda Khadra,Brighton and Hove Albion
p486672,130,2021/2022,Moisés Caicedo,Brighton and Hove Albion
p487117,130,2021/2022,Evan Ferguson,Brighton and Hove Albion
p49262,130,2021/2022,Jason Steele,Brighton and Hove Albion
p50175,130,2021/2022,Danny Welbeck,Brighton and Hove Albion
p513834,130,2021/2022,Andrew Moran,Brighton and Hove Albion
p516211,130,2021/2022,Abdallah Dipo Sima,Brighton and Hove Albion
p60307,130,2021/2022,Pascal Groß,Brighton and Hove Albion
p61933,130,2021/2022,Shane Duffy,Brighton and Hove Albion
p66242,130,2021/2022,Davy Pröpper,Brighton and Hove Albion
p78916,130,2021/2022,Dan Burn,Brighton and Hove Albion
p83299,130,2021/2022,Lewis Dunk,Brighton and Hove Albion
p93284,130,2021/2022,Florin Andone,Brighton and Hove Albion
p103914,131,2021/2022,Charlie Taylor,Burnley
p149519,131,2021/2022,Maxwel Cornet,Burnley
p168399,131,2021/2022,Will Norris,Burnley
p172782,131,2021/2022,Josh Brownhill,Burnley
p17349,131,2021/2022,Aaron Lennon,Burnley
p17761,131,2021/2022,James Tarkowski,Burnley
p17997,131,2021/2022,Phil Bardsley,Burnley
p184259,131,2021/2022,Richard Nartey,Burnley
p192290,131,2021/2022,Connor Roberts,Burnley
p195471,131,2021/2022,Anthony Driscoll-Glennon,Burnley
p20066,131,2021/2022,Wayne Hennessey,Burnley
p217401,131,2021/2022,Josh Benson,Burnley
p218023,131,2021/2022,Jimmy Dunne,Burnley
p220037,131,2021/2022,Bailey Peacock-Farrell,Burnley
p39487,131,2021/2022,Erik Pieters,Burnley
p40145,131,2021/2022,Jack Cork,Burnley
p40845,131,2021/2022,Dale Stephens,Burnley
p41674,131,2021/2022,Kevin Long,Burnley
p430367,131,2021/2022,Joel Mumbongo,Burnley
p432830,131,2021/2022,Nathan Collins,Burnley
p433154,131,2021/2022,Dwight McNeil,Burnley
p44683,131,2021/2022,Jay Rodriguez,Burnley
p44699,131,2021/2022,Ashley Barnes,Burnley
p461096,131,2021/2022,Lewis Richardson,Burnley
p461102,131,2021/2022,Bobby Thomas,Burnley
p461450,131,2021/2022,Max Thompson,Burnley
p461567,131,2021/2022,Owen Dodgson,Burnley
p465299,131,2021/2022,Anthony Mancini,Burnley
p51927,131,2021/2022,Ben Mee,Burnley
p60551,131,2021/2022,Ashley Westwood,Burnley
p60586,131,2021/2022,Jóhann Gudmundsson,Burnley
p60689,131,2021/2022,Chris Wood,Burnley
p68983,131,2021/2022,Matthew Lowton,Burnley
p81183,131,2021/2022,Matej Vydra,Burnley
p83312,131,2021/2022,Ben Gibson,Burnley
p90517,131,2021/2022,Robbie Brady,Burnley
p98747,131,2021/2022,Nick Pope,Burnley
p102380,134,2021/2022,Antonio Rüdiger,Chelsea
p103192,134,2021/2022,Kurt Zouma,Chelsea
p105700,134,2021/2022,Davide Zappacosta,Chelsea
p109533,134,2021/2022,Emerson,Chelsea
p109745,134,2021/2022,Kepa Arrizabalaga,Chelsea
p116594,134,2021/2022,N'Golo Kanté,Chelsea
p118335,134,2021/2022,Baba Rahman,Chelsea
p122074,134,2021/2022,Marcus Bettinelli,Chelsea
p124183,134,2021/2022,Hakim Ziyech,Chelsea
p126186,134,2021/2022,Lewis Baker,Chelsea
p126187,134,2021/2022,Ruben Loftus-Cheek,Chelsea
p135363,134,2021/2022,Andreas Christensen,Chelsea
p163793,134,2021/2022,Matt Miazga,Chelsea
p165153,134,2021/2022,Timo Werner,Chelsea
p167767,134,2021/2022,Kenedy,Chelsea
p169102,134,2021/2022,Tiemoué Bakayoko,Chelsea
p171162,134,2021/2022,Charly Musonda,Chelsea
p172850,134,2021/2022,Ben Chilwell,Chelsea
p173879,134,2021/2022,Tammy Abraham,Chelsea
p176413,134,2021/2022,Christian Pulisic,Chelsea
p180732,134,2021/2022,Jake Clarke-Salter,Chelsea
p180736,134,2021/2022,Trevoh Chalobah,Chelsea
p181913,134,2021/2022,Iké Ugbo,Chelsea
p184341,134,2021/2022,Mason Mount,Chelsea
p194794,134,2021/2022,Fikayo Tomori,Chelsea
p199583,134,2021/2022,Dujon Sterling,Chelsea
p199598,134,2021/2022,Ethan Ampadu,Chelsea
p200415,134,2021/2022,Nathan Baxter,Chelsea
p20310,134,2021/2022,Willy Caballero,Chelsea
p204727,134,2021/2022,Malang Sarr,Chelsea
p209046,134,2021/2022,Callum Hudson-Odoi,Chelsea
p209706,134,2021/2022,Jamie Cumming,Chelsea
p219256,134,2021/2022,Juan Familia-Castillo,Chelsea
p219847,134,2021/2022,Kai Havertz,Chelsea
p223332,134,2021/2022,Faustino Anjorin,Chelsea
p225796,134,2021/2022,Reece James,Chelsea
p228286,134,2021/2022,Édouard Mendy,Chelsea
p232787,134,2021/2022,Conor Gallagher,Chelsea
p243568,134,2021/2022,Billy Gilmour,Chelsea
p41328,134,2021/2022,César Azpilicueta,Chelsea
p431019,134,2021/2022,Karlo Ziger,Chelsea
p440323,134,2021/2022,Armando Broja,Chelsea
p441191,134,2021/2022,Valentino Livramento,Chelsea
p44346,134,2021/2022,Olivier Giroud,Chelsea
p450529,134,2021/2022,Lewis Bate,Chelsea
p470165,134,2021/2022,Xavier Mbuyamba,Chelsea
p482158,134,2021/2022,Lucas Bergstrom,Chelsea
p49013,134,2021/2022,Victor Moses,Chelsea
p51090,134,2021/2022,Thiago Silva,Chelsea
p61603,134,2021/2022,Danny Drinkwater,Chelsea
p66749,134,2021/2022,Romelu Lukaku,Chelsea
p82263,134,2021/2022,Marcos Alonso,Chelsea
p85955,134,2021/2022,Jorginho,Chelsea
p88894,134,2021/2022,Ross Barkley,Chelsea
p89335,134,2021/2022,Saúl Ñíguez,Chelsea
p91651,134,2021/2022,Mateo Kovacic,Chelsea
p94245,134,2021/2022,Michy Batshuayi,Chelsea
p105666,136,2021/2022,Jack Butland,Crystal Palace
p108413,136,2021/2022,Will Hughes,Crystal Palace
p169593,136,2021/2022,Remi Matthews,Crystal Palace
p173954,136,2021/2022,Jairo Riedewald,Crystal Palace
p174874,136,2021/2022,Joachim Andersen,Crystal Palace
p185478,136,2021/2022,Jaroslaw Jach,Crystal Palace
p19188,136,2021/2022,Scott Dann,Crystal Palace
p19419,136,2021/2022,Gary Cahill,Crystal Palace
p199670,136,2021/2022,Odsonne Édouard,Crystal Palace
p20066,136,2021/2022,Wayne Hennessey,Crystal Palace
p209036,136,2021/2022,Marc Guéhi,Crystal Palace
p209043,136,2021/2022,Nya Kirby,Crystal Palace
p221272,136,2021/2022,Sam Woods,Crystal Palace
p223824,136,2021/2022,Reece Hannam,Crystal Palace
p231747,136,2021/2022,Jean-Philippe Mateta,Crystal Palace
p232413,136,2021/2022,Eberechi Eze,Crystal Palace
p232423,136,2021/2022,Nathan Ferguson,Crystal Palace
p232787,136,2021/2022,Conor Gallagher,Crystal Palace
p244723,136,2021/2022,Tyrick Mitchell,Crystal Palace
p250720,136,2021/2022,Jacob Montes,Crystal Palace
p40784,136,2021/2022,Mamadou Sakho,Crystal Palace
p40836,136,2021/2022,Vicente Guaita,Crystal Palace
p42525,136,2021/2022,Stephen Henderson,Crystal Palace
p443661,136,2021/2022,Michael Olise,Crystal Palace
p448482,136,2021/2022,Robert Street,Crystal Palace
p450542,136,2021/2022,Jesurun Rak-Sakyi,Crystal Palace
p461377,136,2021/2022,Malachi Boateng,Crystal Palace
p462831,136,2021/2022,Scott Banks,Crystal Palace
p49413,136,2021/2022,James Tomkins,Crystal Palace
p50471,136,2021/2022,James McArthur,Crystal Palace
p50472,136,2021/2022,James McCarthy,Crystal Palace
p54861,136,2021/2022,Christian Benteke,Crystal Palace
p55037,136,2021/2022,Cheikhou Kouyaté,Crystal Palace
p55494,136,2021/2022,Joel Ward,Crystal Palace
p57328,136,2021/2022,Nathaniel Clyne,Crystal Palace
p58786,136,2021/2022,Martin Kelly,Crystal Palace
p59125,136,2021/2022,Connor Wickham,Crystal Palace
p60252,136,2021/2022,Andros Townsend,Crystal Palace
p66975,136,2021/2022,Luka Milivojevic,Crystal Palace
p74230,136,2021/2022,Patrick van Aanholt,Crystal Palace
p80146,136,2021/2022,Jordan Ayew,Crystal Palace
p82403,136,2021/2022,Wilfried Zaha,Crystal Palace
p86417,136,2021/2022,Jeffrey Schlupp,Crystal Palace
p94245,136,2021/2022,Michy Batshuayi,Crystal Palace
p100649,138,2021/2022,Bernard,Everton
p101188,138,2021/2022,Lucas Digne,Everton
p106611,138,2021/2022,Michael Keane,Everton
p111234,138,2021/2022,Jordan Pickford,Everton
p111782,138,2021/2022,Robin Olsen,Everton
p11948,138,2021/2022,Andy Lonergan,Everton
p119765,138,2021/2022,Allan,Everton
p120250,138,2021/2022,André Gomes,Everton
p121599,138,2021/2022,Abdoulaye Doucouré,Everton
p153133,138,2021/2022,Alex Iwobi,Everton
p153673,138,2021/2022,Jonjoe Kenny,Everton
p160987,138,2021/2022,Jean-Philippe Gbamin,Everton
p164511,138,2021/2022,Yerry Mina,Everton
p172632,138,2021/2022,Demarai Gray,Everton
p173807,138,2021/2022,Tom Davies,Everton
p173818,138,2021/2022,Nathan Broadhead,Everton
p177815,138,2021/2022,Dominic Calvert-Lewin,Everton
p194164,138,2021/2022,Mason Holgate,Everton
p195855,138,2021/2022,Beni Baningime,Everton
p198826,138,2021/2022,Ben Godfrey,Everton
p20467,138,2021/2022,Theo Walcott,Everton
p212319,138,2021/2022,Richarlison,Everton
p218997,138,2021/2022,Ellis Simms,Everton
p222627,138,2021/2022,João Virgínia,Everton
p232820,138,2021/2022,Joseph Anderson,Everton
p232826,138,2021/2022,Anthony Gordon,Everton
p232829,138,2021/2022,Kyle John,Everton
p232964,138,2021/2022,Lewis Gibson,Everton
p242058,138,2021/2022,Moise Kean,Everton
p40349,138,2021/2022,Asmir Begovic,Everton
p41823,138,2021/2022,Fabian Delph,Everton
p422612,138,2021/2022,Ryan Astley,Everton
p431001,138,2021/2022,Einar Iversen,Everton
p447261,138,2021/2022,Mackenzie Hunt,Everton
p447325,138,2021/2022,Harry Tyrer,Everton
p461421,138,2021/2022,Lewis Dobbin,Everton
p461446,138,2021/2022,Tyler Onyango,Everton
p474907,138,2021/2022,Reece Welch,Everton
p480455,138,2021/2022,Jarrad Branthwaite,Everton
p486622,138,2021/2022,Zan-Luk Leban,Everton
p491551,138,2021/2022,Thierry Small,Everton
p491556,138,2021/2022,Charlie Whitaker,Everton
p491559,138,2021/2022,Isaac Price,Everton
p495542,138,2021/2022,Niels Nkounkou,Everton
p55422,138,2021/2022,Gylfi Sigurdsson,Everton
p57134,138,2021/2022,Salomón Rondón,Everton
p59949,138,2021/2022,Séamus Coleman,Everton
p60025,138,2021/2022,James Rodríguez,Everton
p60252,138,2021/2022,Andros Townsend,Everton
p66838,138,2021/2022,Cenk Tosun,Everton
p78007,138,2021/2022,Joshua King,Everton
p87447,138,2021/2022,Muhamed Besic,Everton
p105377,143,2021/2022,Ezgjan Alioski,Leeds United
p106617,143,2021/2022,Patrick Bamford,Leeds United
p149915,143,2021/2022,Diego Llorente,Leeds United
p155405,143,2021/2022,Kalvin Phillips,Leeds United
p165808,143,2021/2022,Hélder Costa,Leeds United
p173821,143,2021/2022,Tyler Roberts,Leeds United
p193645,143,2021/2022,Robin Koch,Leeds United
p200617,143,2021/2022,Daniel James,Leeds United
p215460,143,2021/2022,Ian Poveda-Ocampo,Leeds United
p219961,143,2021/2022,Raphinha,Leeds United
p221399,143,2021/2022,Jack Harrison,Leeds United
p221610,143,2021/2022,Jamie Shackleton,Leeds United
p222694,143,2021/2022,Pascal Struijk,Leeds United
p223081,143,2021/2022,Kristoffer Klaesson,Leeds United
p248937,143,2021/2022,Sam Greenwood,Leeds United
p28690,143,2021/2022,Pablo Hernández,Leeds United
p38588,143,2021/2022,Gaetano Berardi,Leeds United
p39790,143,2021/2022,Kiko Casilla,Leeds United
p433590,143,2021/2022,Cody Drameh,Leeds United
p434138,143,2021/2022,Jordan Stevens,Leeds United
p437495,143,2021/2022,Illan Meslier,Leeds United
p443967,143,2021/2022,Junior Firpo,Leeds United
p450070,143,2021/2022,Crysencio Summerville,Leeds United
p455084,143,2021/2022,Leif Davis,Leeds United
p462635,143,2021/2022,Joe Gelhardt,Leeds United
p463912,143,2021/2022,Elia Caprile,Leeds United
p464618,143,2021/2022,Liam McCarron,Leeds United
p467113,143,2021/2022,Alfie McCalmont,Leeds United
p467114,143,2021/2022,Oliver Casey,Leeds United
p469249,143,2021/2022,Nohan Kenneh,Leeds United
p473342,143,2021/2022,Stuart McKinstry,Leeds United
p477547,143,2021/2022,Leo Fuhr Hjelde,Leeds United
p480216,143,2021/2022,Mateusz Bogusz,Leeds United
p492066,143,2021/2022,Niall Huggins,Leeds United
p492373,143,2021/2022,Charlie Cresswell,Leeds United
p492374,143,2021/2022,Jack Jenkins,Leeds United
p55914,143,2021/2022,Liam Cooper,Leeds United
p58746,143,2021/2022,Laurens De Bock,Leeds United
p66588,143,2021/2022,Luke Ayling,Leeds United
p72222,143,2021/2022,Mateusz Klich,Leeds United
p80179,143,2021/2022,Adam Forshaw,Leeds United
p80954,143,2021/2022,Rodrigo,Leeds United
p87873,143,2021/2022,Stuart Dallas,Leeds United
p101668,144,2021/2022,Jamie Vardy,Leicester City
p106837,144,2021/2022,Dennis Praet,Leicester City
p111931,144,2021/2022,Ricardo Pereira,Leicester City
p115858,144,2021/2022,Rachid Ghezzal,Leicester City
p11974,144,2021/2022,Eldin Jakupovic,Leicester City
p15033,144,2021/2022,Wes Morgan,Leicester City
p155569,144,2021/2022,Daniel Amartey,Leicester City
p166477,144,2021/2022,Timothy Castagne,Leicester City
p166989,144,2021/2022,Youri Tielemans,Leicester City
p168580,144,2021/2022,Ayoze Pérez,Leicester City
p172780,144,2021/2022,James Maddison,Leicester City
p173515,144,2021/2022,Kelechi Iheanacho,Leicester City
p17745,144,2021/2022,Kasper Schmeichel,Leicester City
p197469,144,2021/2022,Hamza Choudhury,Leicester City
p201666,144,2021/2022,Harvey Barnes,Leicester City
p201667,144,2021/2022,Josh Knight,Leicester City
p203341,144,2021/2022,Wilfred Ndidi,Leicester City
p207270,144,2021/2022,Daniel Iversen,Leicester City
p213405,144,2021/2022,Filip Benkovic,Leicester City
p215413,144,2021/2022,Kiernan Dewsbury-Hall,Leicester City
p218031,144,2021/2022,Çaglar Söyüncü,Leicester City
p219352,144,2021/2022,Ademola Lookman,Leicester City
p220627,144,2021/2022,James Justin,Leicester City
p225902,144,2021/2022,Boubakary Soumaré,Leicester City
p228798,144,2021/2022,Cengiz Ünder,Leicester City
p232229,144,2021/2022,Vontae Daley-Campbell,Leicester City
p232881,144,2021/2022,Thakgalo Leshabela,Leicester City
p244619,144,2021/2022,Luke Thomas,Leicester City
p245419,144,2021/2022,Patson Daka,Leicester City
p37402,144,2021/2022,Christian Fuchs,Leicester City
p37642,144,2021/2022,Jonny Evans,Leicester City
p40146,144,2021/2022,Ryan Bertrand,Leicester City
p421796,144,2021/2022,Sidnei Tavares,Leicester City
p436680,144,2021/2022,Jakub Stolarczyk,Leicester City
p444463,144,2021/2022,Wesley Fofana,Leicester City
p447373,144,2021/2022,Shane Flynn,Leicester City
p447902,144,2021/2022,Kamal Sowah,Leicester City
p461561,144,2021/2022,Ethan Fitzhugh,Leicester City
p461585,144,2021/2022,Tawanda Maswanhise,Leicester City
p501770,144,2021/2022,Ben Nelson,Leicester City
p513789,144,2021/2022,Thanawat Suengchitthawon,Leicester City
p51938,144,2021/2022,Marc Albrighton,Leicester City
p86881,144,2021/2022,Nampalys Mendy,Leicester City
p93100,144,2021/2022,Jannik Vestergaard,Leicester City
p95463,144,2021/2022,Danny Ward,Leicester City
p104542,145,2021/2022,Loris Karius,Liverpool
p110979,145,2021/2022,Sadio Mané,Liverpool
p116535,145,2021/2022,Alisson,Liverpool
p116643,145,2021/2022,Fabinho,Liverpool
p118748,145,2021/2022,Mohamed Salah,Liverpool
p122798,145,2021/2022,Andrew Robertson,Liverpool
p141921,145,2021/2022,Sheyi Ojo,Liverpool
p15157,145,2021/2022,James Milner,Liverpool
p152760,145,2021/2022,Divock Origi,Liverpool
p152898,145,2021/2022,Ben Davies,Liverpool
p153682,145,2021/2022,Harry Wilson,Liverpool
